datetime,lst_median_C,lst_mean_C,lst_mean_uncertainty,lst_std,bootstrap_ci_lower,bootstrap_ci_upper,n_valid_pixels
2016-12-31 23:41:00,,,,,,,0
2017-01-01 13:09:00,,,,,,,0
2017-01-01 14:50:00,,,,,,,0
2017-01-01 23:15:00,-17.788000488281227,-17.119234518808867,0.18112329710019778,2.0146565175601627,-18.006002807617165,-17.422003173828102,73
2017-01-02 14:23:00,,,,,,,0
2017-01-02 22:48:00,,,,,,,0
2017-01-03 13:57:00,,,,,,,0
2017-01-03 22:22:00,-39.48399963378904,-39.17261508240989,0.18793878263356734,1.0559668371189144,-39.64200439453123,-39.27200927734373,98
2017-01-04 13:31:00,,,,,,,0
2017-01-04 21:56:00,-19.134008789062477,-20.299474521852858,0.18154718009930737,4.290536341682715,-22.70799865722654,-17.825994873046852,53
2017-01-04 23:37:00,-21.254003906249977,-21.60096136599168,0.1821020513164754,3.1758458143810304,-21.739996337890602,-20.282003784179665,98
2017-01-05 13:05:00,-22.80400695800779,-22.745512390136696,0.18240817453788252,1.0510189962818726,-22.95300140380857,-22.612005615234352,98
2017-01-05 14:46:00,-23.316000366210915,-23.506914295869706,0.1820882466786048,1.5229884810050258,-23.909002685546852,-23.011000061035134,68
2017-01-05 23:11:00,,,,,,,0
2017-01-06 14:20:00,,,,,,,0
2017-01-06 22:45:00,-26.84599914550779,-26.84599914550779,0.1860000044107437,0.0,,,1
2017-01-07 13:54:00,,,,,,,0
2017-01-07 22:18:00,-30.204000854492165,-30.180859810965387,0.18428572586604527,1.033753758199986,-30.81999816894529,-29.190008544921852,14
2017-01-08 13:27:00,-14.631994628906227,-14.321743338448641,0.18051429390907286,1.0673609949676357,-14.854010009765602,-14.489996337890602,70
2017-01-08 21:52:00,,,,,,,0
2017-01-08 23:33:00,-16.25700988769529,-15.939533809739714,0.18012245638029917,1.5763763524647258,-16.756018066406227,-15.79399719238279,98
2017-01-09 13:01:00,,,,,,,0
2017-01-09 14:42:00,,,,,,,0
2017-01-09 23:07:00,,,,,,,0
2017-01-10 14:16:00,,,,,,,0
